date_time,Electricity:Facilit,NaturalGas:Facility,Zone Mean Air Temperature-ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND,Zone Operative Temperature-ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND,Zone Thermal Comfort Fanger Model PMV-OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND OFFICE WHOLEBUILDING - SM OFFICE 2 PEOPLE,Zone Thermal Comfort Fanger Model PPD-OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND OFFICE WHOLEBUILDING - SM OFFICE 2 PEOPLE
2021-01-01 01:00:00,38298146.7703647,8469337.684852198,15.600000001521424,15.930699104152591,-1.7611797947811907,64.9976029950337
2021-01-01 02:00:00,38347086.04624046,10919195.994988136,15.600000000080234,15.858186322605746,-1.7876206602444982,66.37878200131237
2021-01-01 03:00:00,38347442.46423363,11592927.882565219,15.600000000004421,15.804032343152338,-1.8044173514391746,67.24816385087726
2021-01-01 04:00:00,39516465.086368404,8195780.620680823,15.60000000000019,15.805799959866476,-1.7954504199455432,66.78485711355368
2021-01-01 05:00:00,38234602.90739255,7328796.928216135,15.600000000000021,15.786328957687093,-1.7861405160187662,66.30186153260667
2021-01-01 06:00:00,38227299.96081499,7052823.489192676,15.600000000000016,15.762661729776006,-1.7810646665658914,66.03771031002518
2021-01-01 07:00:00,40436652.79086067,33159442.981924254,20.828401758182554,18.344117089790448,-1.082354703143813,29.712602278865162
2021-01-01 08:00:00,39168567.513535716,32814351.201958016,20.999999999999993,19.270695911593958,-0.9078045525836393,22.402793883319916
2021-01-01 09:00:00,39168394.85350576,32807826.49556143,21.0,19.41395736506628,-0.8799239929670052,21.34561038274346
2021-01-01 10:00:00,40338669.85701968,28340916.095244963,21.000000000000004,19.48082975313903,-0.8636354655825017,20.742713364686878
2021-01-01 11:00:00,38469469.74635154,24022479.067882948,20.999999999999996,19.680277931754517,-0.830272716626111,19.542168046164292
2021-01-01 12:00:00,38415420.84030479,22779931.089699436,20.999999999999996,19.849600258240887,-0.8052458704509461,18.672167823233366
2021-01-01 13:00:00,39655708.9166725,22081906.751176976,21.0,19.88061199253259,-0.8041210265033586,18.633685089470163
2021-01-01 14:00:00,38394234.169422224,21979301.047725663,21.000000000000004,19.888507345596366,-0.8051853524745781,18.670096044395862
2021-01-01 15:00:00,38424942.080047935,23139732.335371487,20.999999999999996,19.918773958928398,-0.8022001453745028,18.568092275437948
2021-01-01 16:00:00,39710164.90161127,24141784.057723276,21.0,19.84271737799,-0.8189592458495736,19.145617527736235
2021-01-01 17:00:00,38976877.671263084,25570520.997801628,21.0,19.801392147822853,-0.8275305345366377,19.445558075685852
2021-01-01 18:00:00,38975776.67514352,25528915.095000274,21.0,19.81631892309213,-0.8250613290575942,19.358835212752723
2021-01-01 19:00:00,39592530.329306595,279348.99734199996,17.557894656474808,18.110233750601278,-1.2780277937330846,39.14366871632977
2021-01-01 20:00:00,38333580.11604396,320751.0388986288,16.25894729770129,16.96276130828025,-1.5430595851201132,53.243297823788495
2021-01-01 21:00:00,38333580.11604396,1260739.083908506,15.805666368884069,16.45867658504153,-1.651075421507176,59.11768968215283
2021-01-01 22:00:00,38363934.71185196,2407818.842241224,15.600088251636281,16.19363427608827,-1.7036757801621147,61.94837305574065
2021-01-01 23:00:00,39678883.41889731,4524851.224586379,15.60000139737016,16.099175025007362,-1.7181049313147534,62.71863935582926
2021-01-02 00:00:00,38453308.59897071,5785197.92137307,15.600000031424646,16.0262459576987,-1.7305387630056694,63.37979623857554
2021-01-02 01:00:00,38213198.52013876,6514041.263748542,15.600000000840252,15.968743012023118,-1.7426937230976087,64.02361090631445
2021-01-02 02:00:00,39488196.69750217,7123385.942842323,15.60000000002564,15.912720019653804,-1.7557087673547513,64.71002458691271
2021-01-02 03:00:00,38260569.795315124,8304169.889572452,15.600000000000973,15.855285583984493,-1.7693923352666459,65.42816634856817
2021-01-02 04:00:00,38256265.0725792,8141497.312844765,15.600000000000053,15.814963921952902,-1.7790515258424346,65.93278887161318
2021-01-02 05:00:00,39525773.86827427,8545419.894257657,15.600000000000016,15.77295402219428,-1.7877768340562186,66.38689522110633
2021-01-02 06:00:00,38276210.50492814,8895221.785520617,15.60000000000002,15.730966012281593,-1.7968430734955179,66.85693704896404
2021-01-02 07:00:00,39219340.07933868,34727114.04550221,20.822676521376465,18.30132476172787,-1.1067116417878844,30.82149133856244
2021-01-02 08:00:00,40505444.99249076,35760214.2678092,21.0,19.232831839519076,-0.9342228585491574,23.433554154547082
2021-01-02 09:00:00,39230858.21498899,35162376.64434467,21.0,19.374731815946348,-0.9094742244408881,22.467107823286625
2021-01-02 10:00:00,39172109.823710196,32942314.453539185,21.0,19.43509187587747,-0.897389977963947,22.004185885262174
2021-01-02 11:00:00,39783869.91193623,26920885.409180664,21.0,19.772983957765234,-0.837266844967503,19.790004559795804
2021-01-02 12:00:00,38462861.694408625,24566790.789125092,21.000000000000004,19.86168081403632,-0.8222644998246106,19.260914774915562
